ID	Sentence	Score
32	I like dogs, but not blackbirds.	4.0
417	I like cats more than blackbirds.	5.67
205	I like bushes, an interesting type of fir.	3.17
356	I like seafood, and veal too.	6.0
140	I like pigs, an interesting type of parrot.	1.58
116	I like veal, but not oysters.	5.17
165	I like cats, an interesting type of sparrow.	1.17
131	I like parrots, an interesting type of cat.	1.25
244	I like oysters, an interesting type of seafood.	6.77
489	I like turkey more than salmon.	6.75
227	I like turkey, an interesting type of salmon.	1.25
391	I like caviar, and beef too.	5.83
149	I like hamsters, an interesting type of duck.	1.33
31	I like blackbirds, but not dogs.	5.67
293	I like blackbirds, and dogs too.	5.82
195	I like bushes, an interesting type of birch.	1.83
28	I like hamsters, but not blackbirds.	4.58
503	I like beef more than crabs.	5.78
144	I like ducks, an interesting type of cat.	1.09
21	I like ducks, but not dogs.	5.0
90	I like seafood, but not salmon.	5.67
206	I like firs, an interesting type of shrub.	3.17
5	I like parrots, but not hamsters.	5.25
192	I like birches, an interesting type of animal.	1.83
522	I like caviar more than beef.	6.09
403	I like birds more than pigs.	6.0
3	I like birds, but not parrots.	5.73
158	I like blackbirds, an interesting type of hamster.	1.67
341	I like pines, and trees too.	4.17
319	I like birches, and grass too.	3.0
184	I like trees, an interesting type of bush.	2.91
361	I like beef, and salmon too.	5.75
139	I like parrots, an interesting type of pig.	1.42
416	I like blackbirds more than cats.	5.58
76	I like shrubs, but not firs.	5.42
380	I like turkey, and oysters too.	5.25
512	I like oysters more than beef.	6.18
331	I like firs, and trees too.	4.5
117	I like oysters, but not turkey.	4.83
381	I like oysters, and beef too.	5.27
373	I like oysters, and chicken too.	5.5
490	I like seafood more than turkey.	6.33
88	I like chicken, but not salmon.	5.58
43	I like oaks, but not grass.	5.11
45	I like oaks, but not trees.	1.73
354	I like salmon, and veal too.	1.5
81	I like pines, but not animals.	4.0
80	I like trees, but not pines.	5.67
365	I like crabs, and seafood too.	3.58
303	I like sparrows, and dogs too.	5.54
494	I like crabs more than chicken.	6.25
516	I like caviar more than seafood.	3.33
410	I like ducks more than hamsters.	6.5
498	I like crabs more than veal.	1.75
197	I like shrubs, an interesting type of birch.	2.0
310	I like oaks, and animals too.	3.09
202	I like firs, an interesting type of animal.	1.5
113	I like oysters, but not seafood.	3.55
486	I like veal more than salmon.	6.54
96	I like turkey, but not salmon.	5.33
44	I like grass, but not oaks.	1.75
103	I like crabs, but not seafood.	3.25
304	I like dogs, and sparrows too.	5.67
415	I like dogs more than ducks.	6.09
98	I like salmon, but not beef.	5.77
518	I like caviar more than veal.	6.58
135	I like birds, an interesting type of cat.	1.15
493	I like seafood more than beef.	6.78
424	I like blackbirds more than dogs.	5.92
473	I like trees more than pines.	3.08
105	I like crabs, but not veal.	4.55
477	I like bushes more than pines.	5.0
91	I like seafood, but not chicken.	7.0
127	I like caviar, but not turkey.	4.67
259	I like turkey, an interesting type of caviar.	1.42
253	I like chicken, an interesting type of caviar.	1.92
130	I like beef, but not caviar.	5.25
208	I like pines, an interesting type of grass.	2.08
177	I like trees, an interesting type of oak.	3.08
393	I like parrots more than cats.	6.92
386	I like seafood, and caviar too.	5.0
446	I like trees more than bushes.	4.17
230	I like beef, an interesting type of salmon.	1.25
138	I like birds, an interesting type of hamster.	1.82
233	I like chicken, an interesting type of crabs.	1.17
