ID	Sentence	Score
194	Adoro le betulle, un tipo interessante di cespuglio.	2.25
223	Adoro il salmone, un tipo interessante di vitello.	1.36
322	Amo gli alberi, ed anche le betulle.	3.75
250	Adoro le ostriche, un tipo interessante di manzo.	1.0
356	Amo i prodotti del mare, ed anche il vitello.	5.09
42	Amo i cani, ma non i passeri.	4.5
154	Amo i merli, un tipo interessante di gatto.	1.08
511	Amo il tacchino più delle ostriche.	5.64
116	Adoro il vitello, ma non le ostriche.	4.27
268	Amo i criceti, ed anche i pappagalli.	5.5
91	Adoro i prodotti del mare, ma non il pollo.	3.45
189	Adoro l' erba, un tipo interessante di betulla.	1.31
56	Adoro gli alberi, ma non gli arbusti.	4.5
512	Amo le ostriche più del manzo.	6.09
130	Adoro il manzo, ma non il caviale.	4.92
1	Amo i gatti, ma non i pappagalli.	4.83
7	Amo gli uccelli, ma non i criceti.	4.92
233	Adoro il pollo, un tipo interessante di granchi.	1.15
391	Amo il caviale, ed anche il manzo.	6.0
214	Adoro i pini, un tipo interessante di cespuglio.	1.62
5	Amo i pappagalli, ma non i criceti.	4.83
347	Amo i pini, ed anche gli arbusti.	4.18
164	Amo i passeri, un tipo interessante di gatto.	1.11
257	Adoro il vitello, un tipo interessante di caviale.	1.0
497	Amo i prodotti del mare più dei granchi.	2.0
249	Adoro il tacchino, un tipo interessante di ostriche.	1.0
337	Amo gli abeti, ed anche gli arbusti.	5.4
338	Amo gli arbusti, ed anche gli abeti.	6.0
395	Amo i pappagalli più degli uccelli.	2.92
421	Amo i criceti più dei merli.	5.58
474	Amo i pini più degli animali.	4.83
327	Amo le betulle, ed anche gli arbusti.	5.44
400	Amo gli uccelli più dei criceti.	4.73
445	Amo i cespugli più delle querce.	5.54
295	Amo i passeri, ed anche i gatti.	6.0
218	Adoro il salmone, un tipo interessante di pollo.	1.15
96	Adoro il tacchino, ma non il salmone.	4.2
459	Amo gli arbusti più delle betulle.	5.0
251	Adoro il manzo, un tipo interessante di ostriche.	1.5
237	Adoro il vitello, un tipo interessante di granchi.	1.22
104	Adoro i prodotti del mare, ma non i granchi.	6.33
472	Amo i pini più degli alberi.	1.55
230	Adoro il manzo, un tipo interessante di salmone.	1.45
262	Amo i pappagalli, ed anche i gatti.	5.92
293	Amo i merli, ed anche i cani.	6.33
155	Amo i gatti, un tipo interessante di merlo.	1.17
269	Amo gli uccelli, ed anche i criceti.	6.0
348	Amo gli arbusti, ed anche i pini.	5.55
456	Amo le betulle più dei cespugli.	5.25
446	Amo gli alberi più dei cespugli.	6.17
436	Amo le querce più dell' erba.	5.33
151	Amo i maiali, un tipo interessante di anatra.	1.0
485	Amo il salmone più del vitello.	6.67
320	Amo l' erba, ed anche le betulle.	5.77
253	Adoro il pollo, un tipo interessante di caviale.	1.0
344	Amo gli animali, ed anche i pini.	3.62
101	Adoro i granchi, ma non il pollo.	3.25
520	Amo il caviale più del tacchino.	6.27
192	Adoro le betulle, un tipo interessante di animale.	1.11
331	Amo gli abeti, ed anche gli alberi.	3.17
438	Amo le querce più degli alberi.	1.6
70	Adoro gli alberi, ma non gli abeti.	5.91
384	Amo il pollo, ed anche il caviale.	5.78
470	Amo i pini più dell' erba.	5.73
481	Amo il pollo più del salmone.	6.08
309	Amo gli alberi, ed anche l' erba.	6.17
397	Amo gli uccelli più dei gatti.	6.67
66	Adoro gli arbusti, ma non le betulle.	3.18
254	Adoro il caviale, un tipo interessante di prodotti del mare.	5.82
146	Amo le anatre, un tipo interessante di uccello.	6.55
505	Amo il pollo più delle ostriche.	6.67
82	Adoro gli animali, ma non i pini.	2.27
355	Amo il vitello, ed anche il salmone.	5.75
172	Amo i passeri, un tipo interessante di cane.	1.4
468	Amo gli abeti più degli arbusti.	5.0
244	Adoro le ostriche, un tipo interessante di prodotti del mare.	6.17
509	Amo il vitello più delle ostriche.	6.5
328	Amo gli arbusti, ed anche le betulle.	4.63
209	Adoro l' erba, un tipo interessante di pino.	1.33
147	Amo gli uccelli, un tipo interessante di anatra.	1.67
409	Amo gli uccelli più delle anatre.	3.5
208	Adoro i pini, un tipo interessante di erba.	1.62
213	Adoro gli animali, un tipo interessante di pino.	1.09
345	Amo i pini, ed anche i cespugli.	5.33
486	Amo il vitello più del salmone.	6.0
47	Adoro gli alberi, ma non l' erba.	4.83
67	Adoro gli abeti, ma non l' erba.	3.25
33	Amo i passeri, ma non i gatti.	4.42
521	Amo il tacchino più del caviale.	6.23
494	Amo i granchi più del pollo.	6.33
134	Amo gli uccelli, un tipo interessante di pappagallo.	1.64
38	Amo i criceti, ma non i passeri.	4.91
188	Adoro le betulle, un tipo interessante di erba.	1.75
336	Amo i cespugli, ed anche gli abeti.	5.55
85	Adoro i pini, ma non gli arbusti.	5.18
234	Adoro i granchi, un tipo interessante di prodotti del mare.	6.42
168	Amo i passeri, un tipo interessante di criceto.	1.0
107	Adoro i granchi, ma non il tacchino.	3.36
160	Amo i merli, un tipo interessante di maiale.	1.0
41	Amo i passeri, ma non i cani.	4.5
78	Adoro l' erba, ma non i pini.	2.92
176	Adoro le querce, un tipo interessante di albero.	6.77
227	Adoro il tacchino, un tipo interessante di salmone.	1.2
173	Amo i cani, un tipo interessante di passero.	1.08
442	Amo gli animali più delle querce.	4.5
103	Adoro i granchi, ma non i prodotti del mare.	4.09
18	Amo i criceti, ma non le anatre.	4.67
93	Adoro il vitello, ma non il salmone.	4.67
129	Adoro il caviale, ma non il manzo.	3.17
86	Adoro gli arbusti, ma non i pini.	4.83
435	Amo i cani più dei passeri.	5.92
377	Amo le ostriche, ed anche il vitello.	5.92
12	Amo gli uccelli, ma non i cani.	4.92
15	Amo le anatre, ma non gli uccelli.	3.5
162	Amo i merli, un tipo interessante di cane.	1.55
69	Adoro gli abeti, ma non gli alberi.	2.83
121	Adoro il caviale, ma non il pollo.	3.33
343	Amo i pini, ed anche gli animali.	4.75
201	Adoro gli alberi, un tipo interessante di abete.	1.33
118	Adoro il tacchino, ma non le ostriche.	4.5
279	Amo le anatre, ed anche i criceti.	5.54
478	Amo i pini più degli arbusti.	4.73
270	Amo i pappagalli, ed anche i maiali.	5.33
140	Amo i maiali, un tipo interessante di pappagallo.	1.0
52	Adoro i cespugli, ma non le querce.	4.73
37	Amo i passeri, ma non i criceti.	4.58
403	Amo gli uccelli più dei maiali.	6.42
504	Amo le ostriche più del pollo.	6.0
115	Adoro le ostriche, ma non il vitello.	3.5
87	Adoro il salmone, ma non il pollo.	5.0
255	Adoro i prodotti del mare, un tipo interessante di caviale.	2.18
112	Adoro il pollo, ma non le ostriche.	3.0
491	Amo il salmone più del manzo.	6.27
404	Amo i pappagalli più dei cani.	5.32
16	Amo gli uccelli, ma non le anatre.	5.83
398	Amo i pappagalli più dei criceti.	6.18
92	Adoro il salmone, ma non il vitello.	3.0
314	Amo i cespugli, ed anche le querce.	6.22
423	Amo i maiali più dei merli.	5.08
114	Adoro i prodotti del mare, ma non le ostriche.	6.42
302	Amo i maiali, ed anche i passeri.	5.0
4	Amo gli uccelli, ma non i gatti.	4.83
460	Amo gli abeti più dell' erba.	5.91
90	Adoro i prodotti del mare, ma non il salmone.	6.27
46	Adoro gli alberi, ma non le querce.	6.09
475	Amo gli animali più dei pini.	4.91
499	Amo il vitello più dei granchi.	6.0
72	Adoro gli animali, ma non gli abeti.	1.45
523	Amo il manzo più del caviale.	6.45
306	Amo l' erba, ed anche le querce.	3.5
457	Amo i cespugli più delle betulle.	5.67
496	Amo i granchi più dei prodotti del mare.	2.0
200	Adoro gli abeti, un tipo interessante di albero.	5.82
64	Adoro i cespugli, ma non le betulle.	2.83
298	Amo gli uccelli, ed anche i passeri.	3.17
387	Amo il caviale, ed anche il vitello.	5.92
304	Amo i cani, ed anche i passeri.	5.46
242	Adoro le ostriche, un tipo interessante di pollo.	1.0
492	Amo il manzo più del salmone.	5.92
231	Adoro i prodotti del mare, un tipo interessante di manzo.	1.25
163	Amo i cani, un tipo interessante di merlo.	1.0
239	Adoro il tacchino, un tipo interessante di granchi.	1.82
373	Amo le ostriche, ed anche il pollo.	4.67
178	Adoro gli alberi, un tipo interessante di erba.	1.33
389	Amo il caviale, ed anche il tacchino.	5.0
473	Amo gli alberi più dei pini.	3.17
483	Amo i prodotti del mare più del salmone.	2.0
127	Adoro il caviale, ma non il tacchino.	4.75
71	Adoro gli abeti, ma non gli animali.	3.92
59	Adoro le betulle, ma non gli alberi.	2.92
50	Adoro gli alberi, ma non gli animali.	4.42
224	Adoro il vitello, un tipo interessante di salmone.	1.17
53	Adoro gli alberi, ma non i cespugli.	4.91
354	Amo il salmone, ed anche il vitello.	5.67
501	Amo il tacchino più dei granchi.	5.54
364	Amo il pollo, ed anche i granchi.	5.92
321	Amo le betulle, ed anche gli alberi.	3.08
448	Amo gli arbusti più delle querce.	4.73
381	Amo le ostriche, ed anche il manzo.	5.95
23	Amo i merli, ma non i gatti.	4.67
